index,X,Y,Z
1,-12.34316937,0.08614981,3.149876
2,-12.34320729,4.10835492,3.1499073
3,-12.3432543,8.93502718,3.14992967
4,-12.34329359,12.95723576,3.14994808
5,-12.34333303,16.97947169,3.14996619
6,-12.34338074,21.80613744,3.1499872
7,-12.34342095,25.82835893,3.15000384
8,-12.34346115,29.85058027,3.15002047
9,-12.34350886,34.67724566,3.15004148
10,-12.34354831,38.69946673,3.15005959
11,-12.34358759,42.72168777,3.15007801
12,-12.3436346,47.54835306,3.15010037
13,-12.34367992,51.5705778,3.15012487
14,-11.57816736,1.47771477,4.24347484
15,-11.5728814,5.32875238,4.2492621
16,-11.5665263,9.9499975,4.25619573
17,-11.56122044,13.80103511,4.26196452
18,-11.55590555,17.65207389,4.26772491
19,-11.54951578,22.27331935,4.27462625
20,-11.54418107,26.12435723,4.28036808
21,-11.53883737,29.97539511,4.28610146
22,-11.53241309,34.59664057,4.29297033
23,-11.52704966,38.44767845,4.29868505
24,-11.5216773,42.29871634,4.30439128
25,-11.51521867,46.9199618,4.31122751
26,-11.50940727,50.77150704,4.31684737
27,-10.93585654,0.08620575,3.14992133
28,-10.40703779,1.57589339,4.31810902
29,-10.60008274,2.57952695,5.06320979
30,-10.54685466,6.96798547,5.09684048
31,-10.54100755,10.6919154,5.10051783
32,-10.53531689,14.41828248,5.10408719
33,-10.52962166,18.14459566,5.10764869
34,-10.52278128,22.61609779,5.11191214
35,-10.51707599,26.34228632,5.11545634
36,-10.51136596,30.0684165,5.11899278
37,-10.50450761,34.53969801,5.1232263
38,-10.49878651,38.26569443,5.12674606
39,-10.49306154,41.99163387,5.13025753
40,-10.48618582,46.46268383,5.13446076
41,-10.48710065,50.17982566,5.13451429
42,-10.12685296,51.05871,4.41334108
43,-10.31216608,51.80657222,3.44195778
44,-8.82488735,0.08620506,3.14992077
45,-8.82493266,1.8026847,4.48935399
46,-8.82488551,3.5670072,5.7646085
47,-8.82490547,7.17175428,5.76463618
48,-8.82492959,11.49746902,5.76466936
49,-8.82494989,15.10221561,5.76469698
50,-8.82497048,18.70696903,5.76472454
51,-8.82499585,23.03267151,5.76475749
52,-8.82501781,26.63742436,5.7647848
53,-8.82503976,30.24217669,5.76481211
54,-8.82506514,34.56788982,5.76484507
55,-8.82508573,38.17264267,5.76487263
56,-8.82510602,41.77738577,5.76490025
57,-8.82513014,46.10313194,5.76493343
58,-8.82515041,49.70784448,5.76498759
59,-8.85221947,50.97801135,4.51490876
60,-8.85347842,51.81447517,3.43138235
61,-6.47158471,0.08620429,3.14992014
62,-6.4897276,2.04055889,4.66715181
63,-6.51900371,4.0595258,6.10414471
64,-6.51622127,7.60033981,6.10445825
65,-6.51437681,11.85351868,6.10466515
66,-6.5128456,15.39783249,6.10483683
67,-6.51131455,18.94215087,6.10500844
68,-6.50947783,23.19533577,6.10521422
69,-6.50794779,26.73965955,6.10538558
70,-6.50641779,30.28398532,6.10555688
71,-6.50458094,34.53717859,6.10576245
72,-6.50305019,38.08151668,6.1059337
73,-6.50151867,41.62583857,6.10610497
74,-6.49967093,45.87903249,6.10631154
75,-6.49813753,49.42134917,6.10647305
76,-6.50024577,50.84102182,4.68598011
77,-6.49254982,51.82725501,3.41426623
78,-4.11828208,0.08620352,3.14991952
79,-4.13830108,2.18625513,4.77514251
80,-4.16379063,4.35911602,6.30685211
81,-4.16176649,7.86350725,6.3069752
82,-4.15990403,12.07220646,6.30708796
83,-4.15836176,15.57945392,6.30718127
84,-4.15681966,19.08670293,6.30727453
85,-4.15496953,23.29540239,6.30738636
86,-4.15342818,26.80265241,6.30747948
87,-4.15188687,30.30990254,6.30757255
88,-4.1500369,34.51860494,6.30768419
89,-4.14849507,38.02585836,6.3077772
90,-4.14695303,41.53310108,6.30787017
91,-4.1450866,45.74180096,6.30798265
92,-4.14352651,49.24734355,6.30802651
93,-4.1418229,50.76194449,4.78397776
94,-4.13162122,51.84002086,3.39715074
95,-2.3533051,0.08620294,3.14991905
96,-2.36655084,2.24587558,4.81913566
