index,X,Y,Z
1,-5.36825237,-0.81971299,1.93772424
2,-5.55172331,2.69670671,1.93782972
3,-5.66768606,6.21590495,1.93776648
4,-5.6040785,9.73615552,1.93783705
5,-5.13956525,13.22048109,1.93779489
6,-3.71510007,2.04097458,5.18509353
7,-4.00750987,5.51729569,5.48620161
8,-4.07078449,9.01418632,5.60938089
9,-3.41310733,-1.42401701,4.77870852
10,-3.60030056,12.46300302,5.35300798
11,-3.30080129,16.1459966,1.93782074
12,-2.73057326,14.79946941,4.52881831
13,0.00002345,-1.55880623,5.4119337
14,-0.02029023,1.86416301,6.09365659
15,-0.00029363,5.2935317,6.74328381
16,-0.00004412,8.76418618,7.07467407
17,-0.00000298,12.19682661,6.5354801
18,-0.00000003,15.19909143,4.80192037
19,-0.00000148,17.14451483,1.93778105
20,2.73057326,14.79946941,4.52881831
21,3.41310733,-1.42401701,4.77870852
22,3.71510007,2.04097458,5.18509353
23,3.60030056,12.46300302,5.35300798
24,3.30080129,16.1459966,1.93782074
25,4.00750987,5.51729569,5.48620161
26,4.07078449,9.01418632,5.60938089
27,5.36825237,-0.81971299,1.93772424
28,5.55172331,2.69670671,1.93782972
29,5.6040785,9.73615552,1.93783705
30,5.13956525,13.22048109,1.93779489
31,5.66768606,6.21590495,1.93776648
